Name,PClass,Age,Sex,Survived,PersonID
Allen Miss Elisabeth Walton,1st,29,female,1,1
Allison Miss Helen Loraine,1st,2,female,0,2
Allison Mr Hudson Joshua Creighton,1st,30,male,0,3
Allison Mrs Hudson JC (Bessie Waldo Daniels),1st,25,female,0,4
Allison Master Hudson Trevor,1st,0.92,male,1,5
Anderson Mr Harry,1st,47,male,1,6
Andrews Miss Kornelia Theodosia,1st,63,female,1,7
Andrews Mr Thomas jr,1st,39,male,0,8
Appleton Mrs Edward Dale (Charlotte Lamson),1st,58,female,1,9
Artagaveytia Mr Ramon,1st,71,male,0,10
Astor Colonel John Jacob,1st,47,male,0,11
Astor Mrs John Jacob (Madeleine Talmadge Force),1st,19,female,1,12
Baxter Mrs James (Helene DeLaudeniere Chaput),1st,50,female,1,13
Baxter Mr Quigg Edmond,1st,24,male,0,14
Beattie Mr Thomson,1st,36,male,0,15
Beckwith Mr Richard Leonard,1st,37,male,1,16
Beckwith Mrs Richard Leonard (Sallie Monypeny),1st,47,female,1,17
Behr Mr Karl Howell,1st,26,male,1,18
Birnbaum Mr Jakob,1st,25,male,0,19
Bishop Mr Dickinson H,1st,25,male,1,20
Bishop Mrs Dickinson H (Helen Walton),1st,19,female,1,21
Bjornstrm-Steffansson Mr Mauritz Hakan,1st,28,male,1,22
Blackwell Mr Stephen Weart,1st,45,male,0,23
Blank Mr Henry,1st,39,male,1,24
Bonnell Miss Caroline,1st,30,female,1,25
Bonnell Miss Elizabeth,1st,58,female,1,26
Bowen Miss Grace Scott,1st,45,female,1,27
Bowerman Miss Elsie Edith,1st,22,female,1,28
Brady Mr John Bertram,1st,41,male,0,29
Brandeis Mr Emil,1st,48,male,0,30
"Brown Mrs James Joseph (Margaret Molly"" Tobin)""",1st,44,female,1,31
Brown Mrs John Murray (Caroline Lane Lamson),1st,59,female,1,32
Bucknell Mrs William Robert (Emma Eliza Ward),1st,60,female,1,33
Butt Major Archibald Willingham,1st,45,male,0,34
Candee Mrs Edward (Helen Churchill Hungerford),1st,53,female,1,35
Cardeza Mrs James Warburton Martinez (Charlotte Wardle Drake),1st,58,female,1,36
Cardeza Mr Thomas Drake Martinez,1st,36,male,1,37
Carlsson Mr Frans Olof,1st,33,male,0,38
Carter Mr William Ernest,1st,36,male,1,39
Carter Mrs William Ernest (Lucile Polk),1st,36,female,1,40
Carter Miss Lucile Polk,1st,14,female,1,41
Carter Master William T II,1st,11,male,1,42
Case Mr Howard Brown,1st,49,male,0,43
Cavendish Mr Tyrell William,1st,36,male,0,44
Chaffee Mr Herbert Fuller,1st,46,male,0,45
Chaffee Mrs Herbert Fuller (Carrie Constance Toogood),1st,47,female,1,46
Chambers Mr Norman Campbell,1st,27,male,1,47
Chambers Mrs Norman Campbell (Bertha Griggs),1st,31,female,1,48
Clark Mr Walter Miller,1st,27,male,0,49
Clark Mrs Walter Miller (Virginia McDowell),1st,26,female,1,50
Compton Mrs Alexander Taylor (Mary Eliza Ingersoll),1st,64,female,1,51
Compton Mr Alexander Taylor Jr,1st,37,male,0,52
Compton Miss Sara Rebecca,1st,39,female,1,53
Cornell Mrs Robert Clifford (Malvina Helen Lamson),1st,55,female,1,54
Crosby Captain Edward Gifford,1st,70,male,0,55
Crosby Mrs Edward Gifford (Catherine Elizabeth Halstead),1st,69,female,1,56
Crosby Miss Harriet R,1st,36,female,1,57
Cumings Mr John Bradley,1st,39,male,0,58
Cumings Mrs John Bradley (Florence Briggs Thayer),1st,38,female,1,59
Daniel Mr Robert Williams,1st,27,male,1,60
Davidson Mr Thornton,1st,31,male,0,61
Davidson Mrs Thornton (Orian Hays),1st,27,female,1,62
Dick Mr Albert Adrian,1st,31,male,1,63
Dick Mrs Albert Adrian Vera Gillespie,1st,17,female,1,64
Dodge Master Washington,1st,4,male,1,65
Douglas Mrs Frederick Charles (Suzette Baxter),1st,27,female,1,66
Douglas Mr Walter Donald,1st,50,male,0,67
Douglas Mrs Walter Donald (Mahala Dutton),1st,48,female,1,68
Duff Gordon Sir Cosmo Edmund,1st,49,male,1,69
Duff Gordon Lady (Lucille Wallace Sutherland),1st,48,female,1,70
Dulles Mr William Crothers,1st,39,male,0,71
Earnshaw Mrs Boulton (Olive Potter),1st,23,female,1,72
Eustis Miss Elizabeth Mussey,1st,53,female,1,73
Evans Miss Edith Corse,1st,36,female,0,74
Foreman Mr Benjamin Laventall,1st,30,male,0,75
Fortune Miss Alice Elizabeth,1st,24,female,1,76
Fortune Mr Charles Alexander,1st,19,male,0,77
Fortune Miss Ethel Flora,1st,28,female,1,78
Fortune Miss Mabel,1st,23,female,1,79
Fortune Mr Mark,1st,64,male,0,80
Fortune Mrs Mark (Mary McDougald),1st,60,female,1,81
Frauenthal Dr Henry William,1st,49,male,1,82
Frauenthal Mr Isaac Gerald,1st,44,male,1,83
Frolicher Miss Marguerite,1st,22,female,1,84
Frolicher-Stehli Mr Maxmillian,1st,60,male,1,85
Frolicher-Stehli Mrs Maxmillian (Margaretha Emerentia Stehli),1st,48,female,1,86
Futrelle Mr Jacques,1st,37,male,0,87
Futrelle Mrs Jacques (May Peel),1st,35,female,1,88
