ID,satisfaction_level,last_evaluation_rating,projects_worked_on,average_monthly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary,Attrition
1,3.8,5.3,3,167,3,0,0,sales,low,1
2,8,8.6,6,272,6,0,0,sales,medium,1
3,1.1,8.8,8,282,4,0,0,sales,medium,1
4,3.7,5.2,3,169,3,0,0,sales,low,1
5,4.1,5,3,163,3,0,0,sales,low,1
6,1,7.7,7,257,4,0,0,sales,low,1
7,9.2,8.5,6,269,5,0,0,sales,low,1
8,8.9,10,6,234,5,0,0,sales,low,1
9,4.2,5.3,3,152,3,0,0,sales,low,1
10,1.1,8.1,7,315,4,0,0,sales,low,1
11,8.4,9.2,5,244,5,0,0,sales,low,1
12,3.8,5.4,3,153,3,0,0,sales,low,1
13,7.6,8.9,6,272,5,0,0,sales,low,1
14,1.1,8.3,7,292,4,0,0,sales,low,1
15,3.8,5.5,3,157,3,0,0,sales,low,1
16,8.9,9.2,6,252,5,0,0,sales,low,1
17,8.2,8.7,5,249,5,0,0,sales,low,1
18,4,4.9,3,145,3,0,0,sales,low,1
19,4.1,4.6,3,138,3,0,0,accounting,low,1
20,0.9,6.2,7,304,4,0,0,accounting,low,1
21,4,5.1,3,155,3,0,0,hr,low,1
22,4.5,5.5,3,150,3,0,0,hr,low,1
23,8.4,8.7,5,256,6,0,0,hr,low,1
24,1,9.4,7,265,4,0,0,technical,low,1
25,4.5,5,3,136,3,0,0,technical,low,1
26,1.1,8.9,7,316,4,0,0,technical,low,1
27,8.7,8.8,6,279,5,0,0,technical,low,1
28,4.5,4.8,3,168,3,0,0,technical,low,1
29,4,4.6,3,137,3,0,0,technical,low,1
30,0.9,8.9,7,286,4,0,0,technical,low,1
31,8.4,7.4,4,192,4,0,0,technical,low,1
32,4,5.5,3,157,3,0,0,support,low,1
33,5.7,7,4,283,6,0,0,support,low,1
34,4,5.4,3,158,3,0,0,support,low,1
35,4.4,5.5,3,145,3,0,0,support,low,1
36,3.8,5.5,3,144,3,0,0,support,low,1
37,3.9,5.4,3,142,3,0,0,support,low,1
38,1,8.1,7,319,4,0,0,technical,low,1
39,8.5,9.1,6,236,5,0,0,management,medium,1
40,1.1,9.3,8,318,4,0,0,IT,medium,1
41,1,9.5,7,254,5,0,0,IT,medium,1
42,3.6,5.6,3,142,3,0,0,IT,medium,1
43,1.1,9.4,7,296,4,0,0,IT,medium,1
44,8.1,7,7,171,4,0,0,IT,medium,1
45,9,9.8,5,274,6,0,0,product_mng,medium,1
46,7.6,8.6,6,233,5,1,0,product_mng,medium,1
47,7.4,9.9,3,287,3,0,0,IT,medium,1
48,4.5,4.9,3,159,3,0,0,product_mng,high,1
49,0.9,8.7,8,305,4,0,0,product_mng,low,1
50,1.1,9.7,7,287,4,0,0,product_mng,medium,1
51,1.1,7.9,8,316,4,0,0,product_mng,medium,1
52,1,8.3,7,305,4,0,0,product_mng,medium,1
53,4,5.4,3,147,3,0,0,marketing,medium,1
54,4.5,5.4,3,150,3,0,0,support,low,1
55,3.8,4.9,3,161,3,0,0,technical,low,1
56,1.1,8.7,7,315,4,0,0,marketing,low,1
57,4.4,4.5,3,142,3,0,0,sales,low,1
58,4,5,3,140,3,0,0,sales,low,1
59,8.9,10,6,256,5,0,0,sales,low,1
60,4.2,4.8,3,153,3,0,0,sales,low,1
61,4.6,5.5,3,139,3,0,0,sales,low,1
62,0.9,8.3,7,265,4,0,0,sales,low,1
63,3.7,5.1,3,165,3,0,0,sales,low,1
64,1.1,9.7,7,294,4,0,0,sales,low,1
65,9,10,6,231,6,0,0,sales,medium,1
66,3.8,5.2,3,164,3,0,0,sales,medium,1
67,3.6,5.2,3,157,3,0,0,sales,medium,1
68,4.2,4.6,3,160,3,0,0,sales,medium,1
69,0.9,9.4,8,277,4,0,0,sales,medium,1
70,4.3,5.2,3,168,3,0,0,sales,medium,1
71,9.1,10,5,267,5,0,0,accounting,medium,1
72,4.4,5,3,158,3,0,0,accounting,medium,1
73,4.3,4.7,3,154,3,0,0,hr,medium,1
74,0.9,8.5,7,299,4,0,0,hr,high,1
75,4.3,5.2,3,170,3,0,0,technical,low,1
76,9,9.6,5,268,5,0,0,technical,medium,1
77,8.4,10,6,244,5,0,0,technical,medium,1
78,8.6,6.8,6,273,2,0,0,technical,medium,1
79,1.1,8.4,7,261,4,0,0,technical,low,1
80,4,4.6,3,142,3,0,0,technical,low,1
81,7.5,10,5,226,6,0,0,technical,low,1
82,1.1,8.4,7,310,5,1,0,support,low,1
83,4.6,4.9,3,148,3,0,0,support,low,1
84,0.9,8.2,7,260,4,0,0,support,low,1
85,3.7,4.5,3,161,3,0,0,support,low,1
86,1,8.3,7,302,4,0,0,support,low,1
87,3.8,5.7,3,150,3,0,0,support,low,1
88,9,10,6,231,5,0,0,support,low,1
89,4.4,5.1,3,148,3,0,0,support,low,1
90,3.6,5,3,142,3,0,0,technical,low,1
91,3.1,8.4,8,143,5,0,0,technical,low,1
92,1,8.4,7,293,4,1,0,technical,low,1
93,7.4,10,5,259,5,0,0,IT,low,1
94,0.9,9.6,7,255,4,0,0,IT,low,1
95,4.5,5.3,3,165,3,0,0,IT,low,1
96,1.1,8,7,266,4,0,0,IT,low,1
97,3.7,4.7,3,162,3,0,0,product_mng,low,1
98,8.4,9.9,5,277,5,0,0,product_mng,low,1
99,7.6,9.2,5,249,5,0,0,product_mng,low,1
100,1.1,8.7,7,316,4,0,0,IT,low,1
101,8.4,8.8,5,273,5,1,0,marketing,low,1
102,1.1,9.1,7,288,4,0,0,marketing,low,1
103,4.5,5.6,3,164,3,0,0,marketing,low,1
104,3.7,5.2,3,153,3,0,0,marketing,low,1
105,4,5.2,3,165,3,0,0,marketing,low,1
106,1.1,8,7,314,4,0,0,accounting,low,1
107,8.3,10,6,250,5,0,0,support,low,1
108,1.1,9.2,7,315,4,0,0,technical,low,1
109,4.5,4.5,3,142,3,0,0,marketing,low,1
